Adjustment_Set,Coefficient_Set,Variance,MSE
"G1,G2",0,0.0009032393275829374,0.0009324911495508335
"G1,G2",1,0.0012761370463821413,0.0012785240318747024
"G1,G2",2,0.0007338877768015328,0.0007339033002990578
"G1,G2",3,0.001804127193791467,0.0018817739628022494
"G1,G2",4,0.0007659012371635714,0.0007774238756306247
"G1,G2",5,0.0013543716011105214,0.001355752984061379
"G1,G2",6,0.001968075954347625,0.0019681991670221066
"G1,G2",7,0.0019653397504084892,0.002006251650945708
"G1,G2",8,0.001063943729941642,0.0010693501540782783
"G1,G2",9,0.0017254039904974284,0.001738481508862091
"G1,G2",10,0.0009883441178383464,0.0010161886915121673
"G1,G2",11,0.001033026556090237,0.001050786044652883
"G1,G2",12,0.00322858218283672,0.003233332948024661
"G1,G2",13,0.0004651706036441441,0.00046520581691134874
"G1,G2",14,0.0013897396915251397,0.001390703166100225
"G1,G2",15,0.0019943175090231173,0.001994637378120897
"G1,G2",16,0.0009356269689542576,0.0009779325789352768
"G1,G2",17,0.0008171689545369575,0.0008174606117592739
"G1,G2",18,0.0023767547029975877,0.00242746658896624
"G1,G2",19,0.0008656017677560808,0.00086564688684105
"G1,G2",20,0.000966085213651789,0.0009684179858213542
"G1,G2",21,0.0011643163563858556,0.0011797525333172134
"G1,G2",22,0.0035130276336400013,0.0035183474093946824
"G1,G2",23,0.0004973577889663177,0.00049739888841589
"G1,G2",24,0.001015540739549784,0.0010177570969125776
"G1,G2",25,0.0007385895925850312,0.000742718146586242
"G1,G2",26,0.001200491906217926,0.001252198053913942
"G1,G2",27,0.001830947325862013,0.0019521870295638622
"G1,G2",28,0.001448458893547269,0.0014486265963618607
"G1,G2",29,0.0012154151591245168,0.0012629033126033621
"G1,G2",30,0.0012993084643065662,0.0013004954394244587
"G1,G2",31,0.0005670149418683507,0.0005675701904317997
"G1,G2",32,0.002784537604623139,0.0028186890898387208
"G1,G2",33,0.004118986869745456,0.004141312243345681
"G1,G2",34,0.0014547335662154146,0.0014548005796531029
"G1,G2",35,0.0029321780312639343,0.003055213875701579
"G1,G2",36,0.0034656412756332118,0.003603332912322495
"G1,G2",37,0.0011270271582804023,0.0011470336078045617
"G1,G2",38,0.002182909304584669,0.0022017789341788716
"G1,G2",39,0.0012520800198441784,0.0012655676763717223
"G1,G2",40,0.001065675291637424,0.001143969748367991
"G1,G2",41,0.0016077868536634062,0.001608479052146327
"G1,G2",42,0.0025920500542306393,0.0026174773740145667
"G1,G2",43,0.0012032902834591722,0.0012230275044440705
"G1,G2",44,0.003204936670633846,0.0032193112013491967
"G1,G2",45,0.0009923998229372354,0.0010020052268444708
"G1,G2",46,0.001836470935504443,0.0018910128557027032
"G1,G2",47,0.0012093927866515556,0.0012094082970675118
"G1,G2",48,0.0014385416233414121,0.0014435034287831228
"G1,G2",49,0.0009281845682387047,0.000929073405966713
"B2,G1",0,0.0030948801574941947,0.003099605957099419
"B2,G1",1,0.003712707819079817,0.0037414156313759174
"B2,G1",2,0.0008029025197702623,0.0008179393178206172
"B2,G1",3,0.0038036782472499154,0.0038170147588964184
"B2,G1",4,0.0735026477601242,0.07584907933266344
"B2,G1",5,0.058026855066680136,0.05879913350281399
"B2,G1",6,0.002934850808960983,0.002949690399413164
"B2,G1",7,0.009642669432147097,0.009683737448614865
"B2,G1",8,0.0067696633509064024,0.006797842614384865
"B2,G1",9,0.00172897128692673,0.0018055757682404832
"B2,G1",10,0.019765889351202166,0.019772130415298874
"B2,G1",11,0.007744327953569502,0.007773020100567767
"B2,G1",12,0.014659125578872481,0.01469551691479601
"B2,G1",13,0.05883170530186728,0.060123517901985675
"B2,G1",14,0.005423732664996753,0.005516440674466198
"B2,G1",15,0.0012442323366956692,0.0012444554029455628
"B2,G1",16,0.013230167651883736,0.013318323662535795
"B2,G1",17,0.021744849523457302,0.02174486905870251
"B2,G1",18,0.005779492007232746,0.005836619800355878
"B2,G1",19,0.036898423111931526,0.03693975803868624
"B2,G1",20,0.00410620315113918,0.004111030660085907
"B2,G1",21,0.003394360217906071,0.0033982852607486826
"B2,G1",22,0.00597810954203122,0.006044825249040321
"B2,G1",23,0.002301191825244498,0.002302539138742363
"B2,G1",24,0.002595565375647218,0.0026272839941043967
"B2,G1",25,0.002501995625909889,0.002520622277535379
"B2,G1",26,0.0016569688884079115,0.0016600565400531082
"B2,G1",27,0.004662033554866552,0.004846549304273092
"B2,G1",28,0.005155500132123291,0.005165596572987352
"B2,G1",29,0.0009602540804747285,0.0009638398220838016
"B2,G1",30,0.002224346605968267,0.0022250879715672678
"B2,G1",31,0.0030898502173351697,0.0031037987197617386
"B2,G1",32,0.006514449761187612,0.006540689975551336
"B2,G1",33,0.0025718284902458647,0.002591554696425632
"B2,G1",34,0.013104608928100132,0.013340932847709827
"B2,G1",35,0.007485018459638985,0.0074869370297130705
"B2,G1",36,0.002444368359702871,0.002446768803793529
"B2,G1",37,0.011737161895075541,0.011892795860501237
"B2,G1",38,0.0008143737786153602,0.0008149682920741351
"B2,G1",39,0.006441911602210533,0.006642078024763063
"B2,G1",40,0.004789821498148629,0.0047899068721385515
"B2,G1",41,0.0018143976138364358,0.0018144336152932628
"B2,G1",42,0.0015381132897910946,0.001581994085094807
"B2,G1",43,0.008064129849766474,0.00815784155491114
"B2,G1",44,0.0014622472364073532,0.0014807329358612834
"B2,G1",45,0.0318192348375458,0.03191876178469452
"B2,G1",46,0.0028548655717280003,0.0029263124137746933
"B2,G1",47,0.003937536130730972,0.00396477052700435
"B2,G1",48,0.05284944746249378,0.0529849318524779
"B2,G1",49,0.0038628828852417044,0.003879907509687524
"B2,G1,G2",0,0.003215281096659011,0.0033777496938012133
"B2,G1,G2",1,0.0018662393248440534,0.0018676909071851356
"B2,G1,G2",2,0.0025734884577442657,0.0025807369905802556
"B2,G1,G2",3,0.004731208884451631,0.004769928248102325
"B2,G1,G2",4,0.006354756971814033,0.0063819560005846255
"B2,G1,G2",5,0.0028264967060267297,0.0029547904246801926
"B2,G1,G2",6,0.001616341993139296,0.0016163635181279214
"B2,G1,G2",7,0.0023665365240387207,0.0023757144783630507
"B2,G1,G2",8,0.0007698076718386429,0.0007875346893740478
"B2,G1,G2",9,0.0014536534956255858,0.001469877107529768
"B2,G1,G2",10,0.003792992870982877,0.0037988551486060037
"B2,G1,G2",11,0.0007145194381320203,0.0007153542239741431
