Adjustment_Set,Coefficient_Set,Variance,MSE
"B1,G2",0,0.0005613284977650961,0.0005615218555260308
"B1,G2",1,0.00547534055432749,0.005607273344189382
"B1,G2",2,0.003969888115684118,0.003978168245827357
"B1,G2",3,0.01658907748678746,0.01659109455369281
"B1,G2",4,0.009191182818501835,0.009206344924686532
"B1,G2",5,0.0007470486334960737,0.0007495964201374986
"B1,G2",6,0.0028318118123774904,0.0028839840263246382
"B1,G2",7,0.0009306223085180209,0.0009310503822252385
"B1,G2",8,0.0024281605156520124,0.002428592021176315
"B1,G2",9,0.002418479024146964,0.0024267384569883663
"B1,G2",10,0.001820519771712375,0.00182176493767238
"B1,G2",11,0.002213031305700666,0.00221304525973133
"B1,G2",12,0.002321185996168652,0.0023265483841818507
"B1,G2",13,0.004108134551108418,0.004128180690473005
"B1,G2",14,0.0006210402683503723,0.0006214869812769627
"B1,G2",15,0.001196517788198354,0.0012015552553097393
"B1,G2",16,0.012047808793584124,0.012071114758973295
"B1,G2",17,0.009179992800170442,0.009180617401402342
"B1,G2",18,0.0016072186551168949,0.0016074274481768208
"B1,G2",19,0.0018504253861514513,0.0018507520856233539
"B1,G2",20,0.003713539720155084,0.003715247911627103
"B1,G2",21,0.04656771028394118,0.047394496687183256
"B1,G2",22,0.005053410378111363,0.005057795682937478
"B1,G2",23,0.0034811140473352165,0.0035077453165923214
"B1,G2",24,0.004905363572038643,0.004908708657700482
"B1,G2",25,0.03133766131660578,0.03144776866347014
"B1,G2",26,0.006411973568314756,0.006439083672578324
"B1,G2",27,0.0017634432191281357,0.00178828884093659
"B1,G2",28,0.0026552607255321747,0.0026807847508142375
"B1,G2",29,0.001233474384670657,0.0012350184330583418
"B1,G2",30,0.0004859530011871456,0.000497472196986873
"B1,G2",31,0.0019984496711757407,0.0020724275624671956
"B1,G2",32,0.00461123880266963,0.004700161752477196
"B1,G2",33,0.0019415981482826434,0.00194306835117337
"B1,G2",34,0.006132231173427393,0.006193270974404881
"B1,G2",35,0.043862493234133465,0.04387161123823487
"B1,G2",36,0.0006085779271824802,0.0006088693832248521
"B1,G2",37,0.0006887799159856394,0.0007023912901920195
"B1,G2",38,0.00037293222759654575,0.00037628355065058924
"B1,G2",39,0.001484449134997531,0.0015079735982614169
"B1,G2",40,0.0018491361068311474,0.001849362836941502
"B1,G2",41,0.0016015698017359567,0.0016052469064102052
"B1,G2",42,0.00963387685026651,0.009685242178596199
"B1,G2",43,0.002739858815820168,0.0029175966857154694
"B1,G2",44,0.020973891257836552,0.0210516406999285
"B1,G2",45,0.0025620973111140743,0.0025804806337064974
"B1,G2",46,0.0021109495887818865,0.00212157366899607
"B1,G2",47,0.03721793879824459,0.037388336453770946
"B1,G2",48,0.0005006086764920109,0.000500723650495551
"B1,G2",49,0.0006650210834585459,0.0006673494984648807
"G1,G2",0,0.0003191375494490361,0.0003213253640881282
"G1,G2",1,0.001021353996463146,0.0010222005669224944
"G1,G2",2,0.0010580833615631243,0.0010583109531677232
"G1,G2",3,0.0009843796894737856,0.001036723680932007
"G1,G2",4,0.0004603790062064812,0.0004613944970589274
"G1,G2",5,0.0014318546640770889,0.0014389365988141574
"G1,G2",6,0.0007681206787652563,0.0007711692441330284
"G1,G2",7,0.0006407818321670419,0.0006408167166673317
"G1,G2",8,0.0002815904805280883,0.00029071014477957647
"G1,G2",9,0.001598041882649645,0.0016220844320368522
"G1,G2",10,0.0004722601244458345,0.00047296656268424193
"G1,G2",11,0.0004285149647613231,0.0004522049422827346
"G1,G2",12,0.0012759233247134083,0.0012759469868705773
"G1,G2",13,0.0015775666760341797,0.0015788792726184721
"G1,G2",14,0.0004989779323644604,0.0005037292893184356
"G1,G2",15,0.0012036943634287842,0.0012450290739327164
"G1,G2",16,0.0005360669232696721,0.000540516148645216
"G1,G2",17,0.0004992140333162911,0.000503066068224738
"G1,G2",18,0.0002933209789053503,0.0002944888242684419
"G1,G2",19,0.0008567017710859414,0.0008735252756959111
"G1,G2",20,0.00041250065390975355,0.00042354018578274967
"G1,G2",21,0.0008893423557287447,0.0009221460711792344
"G1,G2",22,0.0006727368774851429,0.000696833726394519
"G1,G2",23,0.0012444096463431076,0.0012445396752555472
"G1,G2",24,0.0004979468917749017,0.0005016831584798533
"G1,G2",25,0.00032357654174140456,0.0003278710701953389
